Player Name,Initial Stack,Credit?,$ Received,Balance,Credit,Ending Stack,P/L Player,Send Out,$ Sent,Tips,Done?,Tips %,Status,Notes,Total Tips:,Confirm Data,Starting Sum,End Sum,Should Equal,
demet,$100.00,Yes,,Good,$100,$172.04,$72.04,$72.04,$68.00,$4.04,No,5.61%,In Progress,,$171.63,,8366.2,8366.2,,
CSizzle (Ciz),$150.00,Yes,,Good,$150,$225.41,$75.41,$75.41,$75.41,$0.00,No,0.00%,In Progress,,,People Leave ->,0,8366.2,total after bs,
BB,$200.00,Yes,,Good,$200,$50.30,-$149.70,-$149.70,$0.00,$0.00,No,0.00%,In Progress,,,,P/L Sum,Sent/Tips Sum,Game Profit,Tips % of Profit
CT,$150.00,Yes,,Good,$150,$0.00,-$150.00,-$150.00,$0.00,$0.00,No,0.00%,In Progress,,,should be 0 at end:,$0.00,"$3,468.35",3296.98,5.21%
vipp (vippo),$150.00,Yes,,Good,$150,$0.00,-$150.00,-$150.00,$0.00,$0.00,Yes,0.00%,Complete,,,,,,,
asaltypepper,$50.00,Yes,,Good,$50,$285.33,$235.33,$235.33,$220.00,$15.33,Yes,6.51%,Complete,,,,Credit Sum,Receive Sum,In-Game,
yourmotherskeeper (big c),$100.00,Yes,,Good,$100,$0.00,-$100.00,-$100.00,$0.00,$0.00,No,0.00%,In Progress,,,,"$7,181","$1,185.16",$0.00,
BR12 (BR),$50.00,Yes,,Good,$50,$95.33,$45.33,$45.33,$43.00,$2.33,Yes,5.14%,Complete,,,,,,,
Divan,$75.00,Yes,,Good,$75,$144.43,$69.43,$69.43,$65.00,$4.43,Yes,6.38%,Complete,,Pokernow Link:,,,,,
Oogwhey,$50.00,No,$50.00,Good,$0,$95.94,$45.94,$95.94,$92.00,$3.94,Yes,8.58%,Complete,,,,,,,
bj1527 (Yanited),$75.00,Yes,,Good,$75,$86.96,$11.96,$11.96,$11.96,$0.00,No,0.00%,In Progress,,,,,,,
waffles ,$150.00,Yes,,Good,$150,$153.79,$3.79,$3.79,$0.00,$0.00,Yes,0.00%,Complete,,,,,,,
joonga,$75.00,Yes,,Good,$75,$85.53,$10.53,$10.53,$5.00,$5.53,Yes,52.52%,Complete,,WL:,,,,,
wifahat (wifa),$75.00,Yes,,Good,$75,$118.01,$43.01,$43.01,$40.00,$3.01,Yes,7.00%,Complete,,,,,,,
seanyao (sean),$50.00,Yes,,Good,$50,$158.02,$108.02,$108.02,$100.00,$8.02,No,7.42%,In Progress,,,,,,,
jackbusta (flameseed),$170.00,Yes,,Good,$170,$212.70,$42.70,$42.70,$38.00,$4.70,Yes,11.01%,Complete,,,,,,,
weoou,$100.00,Yes,,Good,$100,$112.69,$12.69,$12.69,$10.00,$2.69,Yes,21.20%,Complete,,,,,,,
sam,$150.00,Yes,,Good,$150,$38.21,-$111.79,-$111.79,$0.00,$0.00,No,0.00%,In Progress,,,,,,,
dangdaniel (dangdaniel2.2),$75.00,Yes,,Good,$75,$76.03,$1.03,$1.03,$1.03,$0.00,No,0.00%,In Progress,,,,,,,
Eugene (Mahalo),$50.00,Yes,,Good,$50,$17.95,-$32.05,-$32.05,$0.00,$0.00,No,0.00%,In Progress,,,,,,,
recahl,$107.05,Yes,,Good,$107,$100.87,-$6.18,-$6.18,$0.00,$0.00,Yes,0.00%,Complete,,,,,,,
william (bill),$66.16,No,$66.16,Good,$0,$0.00,-$66.16,$0.00,$0.00,$0.00,Yes,0.00%,Complete,T2,,,,,,
josh (badbrothers),$82.99,Yes,,Good,$83,$217.62,$134.63,$134.63,$122.01,$12.62,No,9.37%,In Progress,,,,,,,
