Player Name,Initial Stack,Credit?,$ Received,Balance,Credit,Ending Stack,P/L Player,Send Out,$ Sent,Tips,Done?,Tips %,Status,Notes,Total Tips:,Confirm Data,Starting Sum,End Sum,Should Equal,
PeanutJr,$85.01,Yes,,Good,$85,$84.25,-$0.76,-$0.76,$0.00,$0.00,Yes,0.00%,Complete,,$56.83,,3020.01,3020.01,,
Funshanay,$50.00,Yes,,Good,$50,$211.38,$161.38,$161.38,$150.00,$11.38,No,7.05%,In Progress,,,People Leave ->,0,3020.01,total after bs,
Sam,$250.00,Yes,,Good,$250,$105.41,-$144.59,-$144.59,$0.00,$0.00,No,0.00%,In Progress,,,,P/L Sum,Sent/Tips Sum,Game Profit,Tips % of Profit
kevinatekfc,$200.00,Yes,,Good,$200,$72.19,-$127.81,-$127.81,$0.00,$0.00,No,0.00%,In Progress,,,should be 0 at end:,$0.00,$872.83,723.18,7.86%
Dougie (PeanutBumHunter),$300.00,Yes,,Good,$300,$322.31,$22.31,$22.31,$20.00,$2.31,Yes,10.35%,Complete,,,,,,,
catlib (cat),$100.00,Yes,,Good,$100,$0.00,-$100.00,-$100.00,$0.00,$0.00,No,0.00%,In Progress,,,,Credit Sum,Receive Sum,In-Game,
Veer Gokhale (Mr Fish),$100.00,No,$100.00,Good,$0,$239.58,$139.58,$239.58,$224.00,$15.58,No,11.16%,In Progress,,,,"$2,745",$275.00,$0.00,
pkqu,$100.00,Yes,,Good,$100,$0.00,-$100.00,-$100.00,$0.00,$0.00,No,0.00%,In Progress,,,,,,,
foxy,$200.00,Yes,,Good,$200,$156.59,-$43.41,-$43.41,$0.00,$0.00,No,0.00%,In Progress,,Pokernow Link:,https://www.pokernow.club/games/pglX4cWs86BzPFl8YUxAag2tj,,,,
mete910,$75.00,No,$75.00,Good,$0,$153.14,$78.14,$153.14,$145.00,$8.14,No,10.42%,In Progress,,,,,,,
BB,$75.00,Yes,,Good,$75,$175.91,$100.91,$100.91,$95.00,$5.91,No,5.86%,In Progress,,,,,,,
yunggarth (garth),$450.00,Yes,,Good,$450,$410.03,-$39.97,-$39.97,$0.00,$0.00,No,0.00%,In Progress,,,,,,,
donuttaker (donny),$100.00,Yes,,Good,$100,$163.26,$63.26,$63.26,$58.00,$5.26,No,8.31%,In Progress,,WL:,,,,,
joel_dev (bomb pot pls),$60.00,Yes,,Good,$60,$116.30,$56.30,$56.30,$53.00,$3.30,No,5.86%,In Progress,,,,,,,
Joning ,$100.00,Yes,,Good,$100,$133.63,$33.63,$33.63,$31.00,$2.63,No,7.82%,In Progress,,,,,,,
sarmgoblin,$50.00,Yes,,Good,$50,$65.82,$15.82,$15.82,$0.00,$0.00,Yes,0.00%,Complete,,,,,,,
bj1527 (Yanited),$200.00,Yes,,Good,$200,$209.53,$9.53,$9.53,$0.00,$0.00,Yes,0.00%,Complete,,,,,,,
dan (danny),$200.00,Yes,,Good,$200,$200.00,$0.00,$0.00,$0.00,$0.00,Yes,0.00%,Complete,,,,,,,
