Player Name,Initial Stack,Credit?,$ Received,Balance,Credit,Ending Stack,P/L Player,Send Out,$ Sent,Tips,Done?,Tips %,Status,Notes,Total Tips:,Confirm Data,Starting Sum,End Sum,Should Equal,
weoou,$250.00,Yes,,Good,$250,$241.75,-$8.25,-$8.25,$0.00,$0.00,No,0.00%,In Progress,,$180.76,,6557.8,6557.8,,
Joning,$181.07,Yes,,Good,$181,$181.17,$0.10,$0.10,$0.00,$0.10,Yes,100.00%,Complete,,,People Leave ->,0,6557.8,total after bs,
CSizzle (siz),$100.00,Yes,,Good,$100,$115.85,$15.85,$15.85,$13.00,$2.85,No,17.98%,In Progress,,,,P/L Sum,Sent/Tips Sum,Game Profit,Tips % of Profit
donuttaker (donny),$100.00,Yes,,Good,$100,$150.70,$50.70,$50.70,$47.00,$3.70,Yes,7.30%,Complete,,,should be 0 at end:,$0.00,"$2,995.48",2521.73,7.17%
fanny,$100.00,No,$100.00,Good,$0,$0.00,-$100.00,$0.00,$0.00,$0.00,Yes,0.00%,Complete,"me, someone",,,,,,
cris ,$50.00,No,$50.00,Good,$0,$0.00,-$50.00,$0.00,$0.00,$0.00,Yes,0.00%,Complete,me,,,Credit Sum,Receive Sum,In-Game,
vik,$250.00,Yes,,Good,$250,$199.42,-$50.58,-$50.58,$0.00,$0.00,No,0.00%,In Progress,,,,"$5,517","$1,041.00",$0.00,
Br1ann88 (Br1),$100.00,Yes,,Good,$100,$0.00,-$100.00,-$100.00,$0.00,$0.00,No,0.00%,In Progress,,,,,,,
Nike,$50.00,No,$50.00,Good,$0,$0.00,-$50.00,$0.00,$0.00,$0.00,Yes,0.00%,Complete,me,Pokernow Link:,,,,,
allen (assturd),$50.00,No,$50.00,Good,$0,$0.00,-$50.00,$0.00,$0.00,$0.00,Yes,0.00%,Complete,me,,,,,,
bj1527 (Yanited),$75.00,Yes,,Good,$75,$132.25,$57.25,$57.25,$55.00,$2.25,Yes,3.93%,Complete,,,,,,,
Divan,$75.00,Yes,,Good,$75,$188.80,$113.80,$113.80,$105.00,$8.80,Yes,7.73%,Complete,,,,,,,
Demet ,$50.00,Yes,,Good,$50,$0.00,-$50.00,-$50.00,$0.00,$0.00,No,0.00%,In Progress,,WL:,,,,,
milku ,$50.00,No,$50.00,Good,$0,$32.75,-$17.25,$32.75,$32.75,$0.00,Yes,0.00%,Complete,me,,,,,,
Cocoloco (coco),$100.00,No,$100.00,Good,$0,$0.00,-$100.00,$0.00,$0.00,$0.00,Yes,0.00%,Complete,me,,,,,,
MrLukahn,$50.00,Yes,,Good,$50,$50.76,$0.76,$0.76,$0.00,$0.76,Yes,100.00%,Complete,,,,,,,
Relativity,$50.00,No,$50.00,Good,$0,$171.88,$121.88,$171.88,$164.00,$7.88,No,6.47%,In Progress,someone,,,,,,
KingPedro123 (giraffe),$50.00,No,$50.00,Good,$0,$219.86,$169.86,$219.86,$211.00,$8.86,No,5.22%,In Progress,"me, someone",,,,,,
recahl ,$100.00,Yes,,Good,$100,$153.02,$53.02,$53.02,$50.00,$3.02,Yes,5.70%,Complete,,,,,,,
nick (ne),$50.00,Yes,,Good,$50,$0.00,-$50.00,-$50.00,$0.00,$0.00,No,0.00%,In Progress,,,,,,,
sb,$50.00,Yes,,Good,$50,$107.56,$57.56,$57.56,$52.00,$5.56,Yes,9.66%,Complete,,,,,,,
Chi,$100.00,Yes,,Good,$100,$213.91,$113.91,$113.91,$110.00,$3.91,Yes,3.43%,Complete,,,,,,,
AsherDing (Asher),$100.00,Yes,,Good,$100,$0.00,-$100.00,-$100.00,$0.00,$0.00,No,0.00%,In Progress,scammed,,,,,,
mo,$100.00,No,$100.00,Good,$0,$0.00,-$100.00,$0.00,$0.00,$0.00,Yes,0.00%,Complete,me,,,,,,
Choohaz,$50.00,Yes,,Good,$50,$45.10,-$4.90,-$4.90,$0.00,$0.00,Yes,0.00%,Complete,,,,,,,
Cat,$50.00,Yes,,Good,$50,$103.78,$53.78,$53.78,$50.00,$3.78,Yes,7.03%,Complete,,,,,,,
rampurge (fish),$50.00,Yes,,Good,$50,$0.00,-$50.00,-$50.00,$0.00,$0.00,Yes,0.00%,Complete,,,,,,,
hari (sh),$100.00,Yes,,Good,$100,$67.05,-$32.95,-$32.95,$0.00,$0.00,No,0.00%,In Progress,,,,,,,
wifahat (wifa),$100.00,Yes,,Good,$100,$179.45,$79.45,$79.45,$73.00,$6.45,Yes,8.12%,Complete,,,,,,,
slapblackjack,$50.00,No,$50.00,Good,$0,$117.65,$67.65,$117.65,$115.00,$2.65,No,3.92%,In Progress,someone,,,,,,
Kondracki24,$141.00,No,$141.00,Good,$0,$238.47,$97.47,$238.47,$233.00,$5.47,No,5.61%,In Progress,"me, someone",,,,,,
jh,$50.00,Yes,,Good,$50,$100.60,$50.60,$50.60,$48.00,$2.60,No,5.14%,In Progress,,,,,,,
Google,$100.00,No,$100.00,Good,$0,$119.05,$19.05,$119.05,$119.00,$0.05,Yes,0.26%,Complete,someone,,,,,,
zkay scallop (scallop),$150.00,Yes,,Good,$150,$158.18,$8.18,$8.18,$0.00,$8.18,Yes,100.00%,Complete,,,,,,,
ddavidl (d3),$200.00,Yes,,Good,$200,$76.58,-$123.42,-$123.42,$0.00,$0.00,No,0.00%,In Progress,,,,,,,
Devarno ,$250.00,Yes,,Good,$250,$0.00,-$250.00,-$250.00,$0.00,$0.00,No,0.00%,In Progress,,,,,,,
Jackbusta (flameseed),$100.00,No,$100.00,Good,$0,$0.00,-$100.00,$0.00,$0.00,$0.00,Yes,0.00%,Complete,someone,,,,,,
shaquillis (shaq),$50.00,Yes,,Good,$50,$0.00,-$50.00,-$50.00,$0.00,$0.00,No,0.00%,In Progress,,,,,,,
Csizzle (milfhunter),$100.00,Yes,,Good,$100,$256.48,$156.48,$156.48,$150.00,$6.48,No,4.14%,In Progress,,,,,,,
Makkah,$100.00,Yes,,Good,$100,$0.00,-$100.00,-$100.00,$0.00,$0.00,No,0.00%,In Progress,,,,,,,
sarmgoblin (bricked),$50.00,Yes,,Good,$50,$123.87,$73.87,$73.87,$70.00,$3.87,No,5.24%,In Progress,,,,,,,
sb (sb2),$75.00,Yes,,Good,$75,$63.06,-$11.94,-$11.94,$0.00,$0.00,No,0.00%,In Progress,,,,,,,
lisAA,$100.00,Yes,,Good,$100,$149.98,$49.98,$49.98,$45.00,$4.98,No,9.96%,In Progress,,,,,,,
rag (chirag),$300.00,Yes,,Good,$300,$0.00,-$300.00,-$300.00,$0.00,$0.00,No,0.00%,In Progress,,,,,,,
TacticalBacon05 (BaconBoy),$50.00,No,$50.00,Good,$0,$172.40,$122.40,$172.40,$160.34,$12.06,No,9.85%,In Progress,someone,,,,,,
donuttyaker (donny),$75.00,Yes,,Good,$75,$88.42,$13.42,$13.42,$11.00,$2.42,No,18.03%,In Progress,,,,,,,
zkay scallop (scallop),$200.00,Yes,,Good,$200,$488.98,$288.98,$288.98,$268.00,$20.98,No,7.26%,In Progress,clear sent ,,,,,,
dangdaniel (dangdaniel2),$150.00,Yes,,Good,$150,$108.88,-$41.12,-$41.12,$0.00,$0.00,No,0.00%,In Progress,,,,,,,
