Player Name,Initial Stack,Credit?,$ Received,Balance,Credit,Ending Stack,P/L Player,Send Out,$ Sent,Tips,Done?,Tips %,Status,Notes,Total Tips:,Confirm Data,Starting Sum,End Sum,Should Equal,
Hari (peanutparty),$50.00,Yes,,Good,$50,$82.89,$32.89,$32.89,$30.00,$2.89,Yes,8.79%,Complete,,$78.99,,2200,2200,,
pkqu,$250.00,Yes,,Good,$250,$0.00,-$250.00,-$250.00,$0.00,$0.00,No,0.00%,In Progress,,,People Leave ->,0,2200,total after bs,
kevinatekfc ,$75.00,Yes,,Good,$75,$0.00,-$75.00,-$75.00,$0.00,$0.00,No,0.00%,In Progress,,,,P/L Sum,Sent/Tips Sum,Game Profit,Tips % of Profit
dan (danny),$100.00,Yes,,Good,$100,$101.33,$1.33,$1.33,$0.00,$1.33,Yes,100.00%,Complete,,,should be 0 at end:,$0.00,"$1,194.26",979.49,8.06%
yoshe,$150.00,Yes,,Good,$150,$231.64,$81.64,$81.64,$77.50,$4.14,No,5.07%,In Progress,,,,,,,
patrick (pat),$50.00,Yes,,Good,$50,$68.24,$18.24,$18.24,$15.00,$3.24,No,17.76%,In Progress,,,,Credit Sum,Receive Sum,In-Game,
gwan ,$75.00,No,$75.00,Good,$0,$0.00,-$75.00,$0.00,$0.00,$0.00,Yes,0.00%,Complete,me,,,"$1,725",$475.00,$0.00,
dougie,$50.00,Yes,,Good,$50,$81.03,$31.03,$31.03,$29.00,$2.03,Yes,6.54%,Complete,,,,,,,
martingale,$100.00,No,$100.00,Good,$0,$42.25,-$57.75,$42.25,$42.25,$0.00,No,0.00%,In Progress,me,Pokernow Link:,https://www.pokernow.club/games/pglOkhnwvnOcWWNXaBSYixoWo,,,,
1020lightning (lightning),$50.00,Yes,,Good,$50,$0.00,-$50.00,-$50.00,$0.00,$0.00,No,0.00%,In Progress,,,,,,,
sb,$50.00,Yes,,Good,$50,$40.84,-$9.16,-$9.16,$0.00,$0.00,No,0.00%,In Progress,,,,,,,
google,$50.00,Yes,,Good,$50,$0.00,-$50.00,-$50.00,$0.00,$0.00,No,0.00%,In Progress,,,,,,,
AR,$50.00,No,$50.00,Good,$0,$0.00,-$50.00,$0.00,$0.00,$0.00,Yes,0.00%,Complete,me,WL:,,,,,
catlib (cat),$150.00,Yes,,Good,$150,$124.50,-$25.50,-$25.50,$0.00,$0.00,No,0.00%,In Progress,,,,,,,
steph4life (steph),$50.00,No,$50.00,Good,$0,$28.65,-$21.35,$28.65,$28.65,$0.00,No,0.00%,In Progress,"me, someone",,,,,,
vik,$100.00,Yes,,Good,$100,$90.40,-$9.60,-$9.60,$0.00,$0.00,No,0.00%,In Progress,,,,,,,
bobby,$200.00,Yes,,Good,$200,$488.39,$288.39,$288.39,$264.00,$24.39,No,8.46%,In Progress,,,,,,,
Joning,$100.00,Yes,,Good,$100,$0.00,-$100.00,-$100.00,$0.00,$0.00,No,0.00%,In Progress,,,,,,,
canhk (martial),$50.00,Yes,,Good,$50,$272.10,$222.10,$222.10,$205.00,$17.10,No,7.70%,In Progress,,,,,,,
keaters (bacht),$50.00,Yes,,Good,$50,$0.00,-$50.00,-$50.00,$0.00,$0.00,No,0.00%,In Progress,,,,,,,
wifahat (wifa),$100.00,Yes,,Good,$100,$321.96,$221.96,$221.96,$205.00,$16.96,Yes,7.64%,Complete,,,,,,,
frieddumplings (MV Mickey),$50.00,No,$50.00,Good,$0,$0.00,-$50.00,$0.00,$0.00,$0.00,Yes,0.00%,Complete,"me, someone",,,,,,
shaquillis (shaq),$100.00,Yes,,Good,$100,$0.00,-$100.00,-$100.00,$0.00,$0.00,No,0.00%,In Progress,,,,,,,
ti84,$50.00,No,$50.00,Good,$0,$131.91,$81.91,$131.91,$125.00,$6.91,No,8.44%,In Progress,me,,,,,,
fqngz,$50.00,No,$50.00,Good,$0,$50.00,$0.00,$50.00,$50.00,$0.00,Yes,0.00%,Complete,me,,,,,,
fqngz,$50.00,No,$50.00,Good,$0,$43.87,-$6.13,$43.87,$43.87,$0.00,No,0.00%,In Progress,,,,,,,
,,Yes,,Good,,,$0.00,$0.00,,$0.00,,0.00%,,,,,,,,
,,Yes,,Good,,,$0.00,$0.00,,$0.00,,0.00%,,,,,,,,
,,Yes,,Good,,,$0.00,$0.00,,$0.00,,0.00%,,,,,,,,
,,Yes,,Good,,,$0.00,$0.00,,$0.00,,0.00%,,,,,,,,
,,Yes,,Good,,,$0.00,$0.00,,$0.00,,0.00%,,,,,,,,
,,Yes,,Good,,,$0.00,$0.00,,$0.00,,0.00%,,,,,,,,
,,Yes,,Good,,,$0.00,$0.00,,$0.00,,0.00%,,,,,,,,
,,Yes,,Good,,,$0.00,$0.00,,$0.00,,0.00%,,,,,,,,
,,Yes,,Good,,,$0.00,$0.00,,$0.00,,0.00%,,,,,,,,
,,Yes,,Good,,,$0.00,$0.00,,$0.00,,0.00%,,,,,,,,
,,Yes,,Good,,,$0.00,$0.00,,$0.00,,0.00%,,,,,,,,
,,Yes,,Good,,,$0.00,$0.00,,$0.00,,0.00%,,,,,,,,
,,Yes,,Good,,,$0.00,$0.00,,$0.00,,0.00%,,,,,,,,
,,Yes,,Good,,,$0.00,$0.00,,$0.00,,0.00%,,,,,,,,
,,Yes,,Good,,,$0.00,$0.00,,$0.00,,0.00%,,,,,,,,
,,Yes,,Good,,,$0.00,$0.00,,$0.00,,0.00%,,,,,,,,
,,Yes,,Good,,,$0.00,$0.00,,$0.00,,0.00%,,,,,,,,
,,Yes,,Good,,,$0.00,$0.00,,$0.00,,0.00%,,,,,,,,
,,Yes,,Good,,,$0.00,$0.00,,$0.00,,0.00%,,,,,,,,
,,Yes,,Good,,,$0.00,$0.00,,$0.00,,0.00%,,,,,,,,
,,Yes,,Good,,,$0.00,$0.00,,$0.00,,0.00%,,,,,,,,
,,Yes,,Good,,,$0.00,$0.00,,$0.00,,0.00%,,,,,,,,
,,Yes,,Good,,,$0.00,$0.00,,$0.00,,0.00%,,,,,,,,
,,Yes,,Good,,,$0.00,$0.00,,$0.00,,0.00%,,,,,,,,
,,Yes,,Good,,,$0.00,$0.00,,$0.00,,0.00%,,,,,,,,
,,Yes,,Good,,,$0.00,$0.00,,$0.00,,0.00%,,,,,,,,
,,Yes,,Good,,,$0.00,$0.00,,$0.00,,0.00%,,,,,,,,
,,Yes,,Good,,,$0.00,$0.00,,$0.00,,0.00%,,,,,,,,
,,Yes,,Good,,,$0.00,$0.00,,$0.00,,0.00%,,,,,,,,
,,Yes,,Good,,,$0.00,$0.00,,$0.00,,0.00%,,,,,,,,
