Player Name,Initial Stack,Credit?,$ Received,Balance,Credit,Ending Stack,P/L Player,Send Out,$ Sent,Tips,Done?,Tips %,Status,Notes,Total Tips:,Confirm Data,Starting Sum,End Sum,Should Equal,
asaltypepper,$75.00,Yes,,Good,$75,$234.53,$159.53,$159.53,$150.00,$9.53,No,5.97%,In Progress,,$166.90,,10643.99,10643.99,,
AR,$125.00,No,$125.00,Good,$0,$0.00,-$125.00,$0.00,$0.00,$0.00,Yes,0.00%,Complete,me,,People Leave ->,0,10643.99,total after bs,
kevinatekfc,$125.00,Yes,,Good,$125,$399.36,$274.36,$274.36,$274.36,$0.00,No,0.00%,In Progress,,,,P/L Sum,Sent/Tips Sum,Game Profit,Tips % of Profit
ragathar (rag),$50.00,Yes,,Good,$50,$0.00,-$50.00,-$50.00,$0.00,$0.00,No,0.00%,In Progress,,,should be 0 at end:,$0.00,"$4,335.98",3730.68,4.47%
donuttaker (donny),$100.00,Yes,,Good,$100,$60.36,-$39.64,-$39.64,$0.00,$0.00,No,0.00%,In Progress,,,,,,,
catlib (cat),$50.00,Yes,,Good,$50,$121.62,$71.62,$71.62,$67.00,$4.62,Yes,6.45%,Complete,,,,Credit Sum,Receive Sum,In-Game,
sarmgoblin (foam),$100.00,Yes,,Good,$100,$81.97,-$18.03,-$18.03,$0.00,$0.00,No,0.00%,In Progress,,,,"$9,294","$1,350.00",$0.00,
Niscu,$50.00,No,$50.00,Good,$0,$0.00,-$50.00,$0.00,$0.00,$0.00,Yes,0.00%,Complete,me,,,,,,
kingpedro (hippo),$50.00,No,$50.00,Good,$0,$179.41,$129.41,$179.41,$175.00,$4.41,Yes,3.41%,Complete,me,Pokernow Link:,,,,,
Yoshe,$50.00,Yes,,Good,$50,$0.00,-$50.00,-$50.00,$0.00,$0.00,No,0.00%,In Progress,,,,,,,
Divan,$75.00,Yes,,Good,$75,$151.76,$76.76,$76.76,$70.00,$6.76,Yes,8.81%,Complete,,,,,,,
Shaquillis (shaq),$100.00,Yes,,Good,$100,$99.86,-$0.14,-$0.14,$0.00,$0.00,Yes,0.00%,Complete,,,,,,,
yoshe,$150.00,Yes,,Good,$150,$66.12,-$83.88,-$83.88,$0.00,$0.00,No,0.00%,In Progress,,WL:,,,,,
