Player Name,Initial Stack,Credit?,$ Received,Balance,Credit,Ending Stack,P/L Player,Send Out,$ Sent,Tips,Done?,Tips %,Status,Notes,Total Tips:,Confirm Data,Starting Sum,End Sum,Should Equal,
nibbler (nib),$150.00,Yes,,Good,$150,$0.00,-$150.00,-$150.00,$0.00,$0.00,No,0.00%,In Progress,,$127.42,,5284.17,5284.17,,
joel_dev (bomb pot plz),$160.00,Yes,,Good,$160,$263.74,$103.74,$103.74,$98.00,$5.74,Yes,5.53%,Complete,,,People Leave ->,0,5284.17,total after bs,
MrLukahn,$50.00,Yes,,Good,$50,$119.84,$69.84,$69.84,$65.00,$4.84,Yes,6.93%,Complete,,,,P/L Sum,Sent/Tips Sum,Game Profit,Tips % of Profit
demet ,$50.00,Yes,,Good,$50,$161.00,$111.00,$111.00,$104.00,$7.00,Yes,6.31%,Complete,,,should be 0 at end:,$0.00,"$2,051.44",1751.44,7.28%
stevewithN (steve),$100.00,Yes,,Good,$100,$0.00,-$100.00,-$100.00,$0.00,$0.00,No,0.00%,In Progress,,,,,,,
yoshe,$100.00,No,$100.00,Good,$0,$0.00,-$100.00,$0.00,$0.00,$0.00,Yes,0.00%,Complete,me,,,Credit Sum,Receive Sum,In-Game,
drew,$100.00,Yes,,Good,$100,$146.84,$46.84,$46.84,$44.00,$2.84,Yes,6.06%,Complete,,,,"$4,384",$900.00,$0.00,
blamp69 (blamp),$100.00,No,$100.00,Good,$0,$0.00,-$100.00,$0.00,$0.00,$0.00,Yes,0.00%,Complete,me,,,,,,
dougie,$50.00,No,$50.00,Good,$0,$0.00,-$50.00,$0.00,$0.00,$0.00,Yes,0.00%,Complete,me,Pokernow Link:,https://www.pokernow.club/games/pgliUJeOcB3SUCikc_o86j-zI,,,,
gene (john locke),$75.00,Yes,,Good,$75,$0.00,-$75.00,-$75.00,$0.00,$0.00,No,0.00%,In Progress,,,,,,,
frankie (FD),"$1,000.00",Yes,,Good,"$1,000","$1,010.07",$10.07,$10.07,$0.00,$10.07,Yes,100.00%,Complete,Assuming we get full tip,,,,,,
catlib (cat),$200.00,Yes,,Good,$200,$194.28,-$5.72,-$5.72,$0.00,$0.00,No,0.00%,In Progress,,,,,,,
rag (chirag),$200.00,Yes,,Good,$200,$0.00,-$200.00,-$200.00,$0.00,$0.00,No,0.00%,In Progress,,,,,,,
rabaaz,$50.00,Yes,,Good,$50,$155.22,$105.22,$105.22,$100.00,$5.22,Yes,4.96%,Complete,,,,,,,
choohaz,$150.00,Yes,,Good,$150,$297.00,$147.00,$147.00,$135.00,$12.00,Yes,8.16%,Complete,,,,,,,
zkay scallop (scallop),$200.00,Yes,,Good,$200,$360.62,$160.62,$160.62,$144.00,$16.62,No,10.35%,In Progress,,,,,,,
hofwarriorstar (krpa),$150.00,Yes,,Good,$150,$0.00,-$150.00,-$150.00,$0.00,$0.00,No,0.00%,In Progress,coney will send,,,,,,
Joning ,$100.00,Yes,,Good,$100,$128.55,$28.55,$28.55,$27.00,$1.55,No,5.43%,In Progress,,,,,,,
Joonga,$100.00,Yes,,Good,$100,$100.00,$0.00,$0.00,$0.00,$0.00,Yes,0.00%,Complete,,,,,,,
BB,$145.00,Yes,,Good,$145,$299.47,$154.47,$154.47,$145.00,$9.47,No,6.13%,In Progress,,,,,,,
dbook,$50.00,No,$50.00,Good,$0,$0.00,-$50.00,$0.00,$0.00,$0.00,Yes,0.00%,Complete,me,,,,,,
bomboclaat (bink),$50.00,Yes,,Good,$50,$0.00,-$50.00,-$50.00,$0.00,$0.00,No,0.00%,In Progress,,,,,,,
oogwhey,$150.00,No,$150.00,Good,$0,$229.62,$79.62,$229.62,$224.00,$5.62,No,7.06%,In Progress,someone,,,,,,
Zach,$75.00,Yes,,Good,$75,$0.00,-$75.00,-$75.00,$0.00,$0.00,No,0.00%,In Progress,,,,,,,
Vedant,$100.00,No,$100.00,Good,$0,$0.00,-$100.00,$0.00,$0.00,$0.00,Yes,0.00%,Complete,someone,,,,,,
CT ,$100.00,No,$100.00,Good,$0,$0.00,-$100.00,$0.00,$0.00,$0.00,Yes,0.00%,Complete,someone,,,,,,
donuttaker (donny),$200.00,Yes,,Good,$200,$436.00,$236.00,$236.00,$219.00,$17.00,No,7.20%,In Progress,,,,,,,
bj1527 (Yanited),$200.00,Yes,,Good,$200,$234.71,$34.71,$34.71,$30.00,$4.71,No,13.57%,In Progress,,,,,,,
sb,$100.00,Yes,,Good,$100,$0.00,-$100.00,-$100.00,$0.00,$0.00,No,0.00%,In Progress,,,,,,,
Flamezz,$100.00,No,$100.00,Good,$0,$118.46,$18.46,$118.46,$118.46,$0.00,No,0.00%,In Progress,someone,,,,,,
younmotherskeeper (big c),$50.00,No,$50.00,Good,$0,$285.94,$235.94,$285.94,$271.65,$14.29,No,6.06%,In Progress,someone,,,,,,
vipp ,$100.00,No,$100.00,Good,$0,$0.00,-$100.00,$0.00,$0.00,$0.00,Yes,0.00%,Complete,"me,someone",,,,,,
ver2themillion (ver),$57.30,Yes,,Good,$57,$43.75,-$13.55,-$13.55,$0.00,$0.00,No,0.00%,In Progress,,,,,,,
Eugene (Mahalo),$50.00,Yes,,Good,$50,$160.45,$110.45,$110.45,$100.00,$10.45,No,9.46%,In Progress,,,,,,,
dangdaniel (dangdaniel2),$275.00,Yes,,Good,$275,$373.91,$98.91,$98.91,$98.91,$0.00,No,0.00%,In Progress,,,,,,,
dangdaniel (dangdaniel2),$100.00,Yes,,Good,$100,$0.00,-$100.00,-$100.00,$0.00,$0.00,No,0.00%,In Progress,,,,,,,
dangdaniel (dangdaniel2),$296.87,Yes,,Good,$297,$164.70,-$132.17,-$132.17,$0.00,$0.00,No,0.00%,In Progress,,,,,,,
,,Yes,,Good,,,$0.00,$0.00,,$0.00,,0.00%,,,,,,,,
,,Yes,,Good,,,$0.00,$0.00,,$0.00,,0.00%,,,,,,,,
,,Yes,,Good,,,$0.00,$0.00,,$0.00,,0.00%,,,,,,,,
,,Yes,,Good,,,$0.00,$0.00,,$0.00,,0.00%,,,,,,,,
,,Yes,,Good,,,$0.00,$0.00,,$0.00,,0.00%,,,,,,,,
,,Yes,,Good,,,$0.00,$0.00,,$0.00,,0.00%,,,,,,,,
,,Yes,,Good,,,$0.00,$0.00,,$0.00,,0.00%,,,,,,,,
,,Yes,,Good,,,$0.00,$0.00,,$0.00,,0.00%,,,,,,,,
,,Yes,,Good,,,$0.00,$0.00,,$0.00,,0.00%,,,,,,,,
,,Yes,,Good,,,$0.00,$0.00,,$0.00,,0.00%,,,,,,,,
,,Yes,,Good,,,$0.00,$0.00,,$0.00,,0.00%,,,,,,,,
,,Yes,,Good,,,$0.00,$0.00,,$0.00,,0.00%,,,,,,,,
,,Yes,,Good,,,$0.00,$0.00,,$0.00,,0.00%,,,,,,,,
,,Yes,,Good,,,$0.00,$0.00,,$0.00,,0.00%,,,,,,,,
,,Yes,,Good,,,$0.00,$0.00,,$0.00,,0.00%,,,,,,,,
,,Yes,,Good,,,$0.00,$0.00,,$0.00,,0.00%,,,,,,,,
,,Yes,,Good,,,$0.00,$0.00,,$0.00,,0.00%,,,,,,,,
,,Yes,,Good,,,$0.00,$0.00,,$0.00,,0.00%,,,,,,,,
,,Yes,,Good,,,$0.00,$0.00,,$0.00,,0.00%,,,,,,,,
,,Yes,,Good,,,$0.00,$0.00,,$0.00,,0.00%,,,,,,,,
,,Yes,,Good,,,$0.00,$0.00,,$0.00,,0.00%,,,,,,,,
,,Yes,,Good,,,$0.00,$0.00,,$0.00,,0.00%,,,,,,,,
,,Yes,,Good,,,$0.00,$0.00,,$0.00,,0.00%,,,,,,,,
,,Yes,,Good,,,$0.00,$0.00,,$0.00,,0.00%,,,,,,,,
,,Yes,,Good,,,$0.00,$0.00,,$0.00,,0.00%,,,,,,,,
,,Yes,,Good,,,$0.00,$0.00,,$0.00,,0.00%,,,,,,,,
,,Yes,,Good,,,$0.00,$0.00,,$0.00,,0.00%,,,,,,,,
