Player Name,Initial Stack,Credit?,$ Received,Balance,Credit,Ending Stack,P/L Player,Send Out,$ Sent,Tips,Done?,Tips %,Status,Notes,Total Tips:,Confirm Data,Starting Sum,End Sum,Should Equal,
stevewithN (swn),$200.00,Yes,,Good,$200,$325.18,$125.18,$125.18,$110.00,$15.18,No,12.13%,In Progress,,$143.87,,5566.1,5566.1,,
ddavidl (yoyo),$100.00,Yes,,Good,$100,$0.00,-$100.00,-$100.00,$0.00,$0.00,No,0.00%,In Progress,,,People Leave ->,0,5566.1,total after bs,
drew,$150.00,Yes,,Good,$150,$33.05,-$116.95,-$116.95,$0.00,$0.00,No,0.00%,In Progress,,,,P/L Sum,Sent/Tips Sum,Game Profit,Tips % of Profit
jonniboui,$50.00,Yes,,Good,$50,$200.92,$150.92,$150.92,$140.00,$10.92,No,7.24%,In Progress,,,should be 0 at end:,$0.00,"$2,934.72",2557.4,5.63%
br1ann88 (br1),$50.00,Yes,,Good,$50,$149.36,$99.36,$99.36,$95.00,$4.36,Yes,4.39%,Complete,,,,,,,
asaltypepper,$75.00,Yes,,Good,$75,$242.53,$167.53,$167.53,$158.00,$9.53,No,5.69%,In Progress,,,,Credit Sum,Receive Sum,In-Game,
rabaaz,$100.00,Yes,,Good,$100,$0.00,-$100.00,-$100.00,$0.00,$0.00,No,0.00%,In Progress,,,,"$4,736",$830.00,$0.00,
Joning,$100.00,Yes,,Good,$100,$0.00,-$100.00,-$100.00,$0.00,$0.00,No,0.00%,In Progress,,,,,,,
MrLukahn,$100.00,Yes,,Good,$100,$23.38,-$76.62,-$76.62,$0.00,$0.00,No,0.00%,In Progress,,Pokernow Link:,https://www.pokernow.club/games/pglveM0o5oLEbBsytxcoAZ1Op,,,,
sb,$100.00,Yes,,Good,$100,$73.47,-$26.53,-$26.53,$0.00,$0.00,No,0.00%,In Progress,,,,,,,
sapoche (thomp),$100.00,Yes,,Good,$100,$64.14,-$35.86,-$35.86,$0.00,$0.00,No,0.00%,In Progress,,,,,,,
